Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande à la coriandre et sauce tomate,10.0,farine,5.0,0.0065,75.5,17.8,3.795,0.0409999999999999,0.4969999999999999,0.0049,0.0204999999999999
Boulettes de viande à la coriandre et sauce tomate,10.0,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.998,0.0,0.0,0.0
Boulettes de viande à la coriandre et sauce tomate,10.0,oeuf,13.75,0.411125,79.0625,18.975,0.0976249999999999,1.302125,1.71875,0.0275,0.050875
Boulettes de viande à la coriandre et sauce tomate,10.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Boulettes de viande à la coriandre et sauce tomate,10.0,piment,2.0,0.00062,,,0.154,0.0064,0.0374,0.0004,0.106
Boulettes de viande à la coriandre et sauce tomate,10.0,steak,200.0,1.46,1746.0,416.0,41.6,14.2,26.8,2.0,7.94
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,beurre,20.0,11.08,620.0,150.6,0.18,16.58,0.1379999999999999,0.0126,0.1659999999999999
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,cumin,1.0,0.0154,17.8,4.27,0.337,0.223,0.178,0.0042,0.0225
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,gingembre,1.0,0.026,14.1,3.35,0.583,0.0424,0.0898,0.00068,0.0339
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,oignon,20.0,0.0,33.8,8.04,1.3460000000000003,0.0,0.312,0.0,1.0
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,paprika,1.0,0.0214,13.2,3.19,0.191,0.129,0.141,0.0017,0.103
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,persil,4.0,0.004,7.2,1.72,0.1392,0.0252,0.1484,0.0236,0.038
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,piment,2.0,0.00062,,,0.154,0.0064,0.0374,0.0004,0.106
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
