Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Cannellonis végétariens à la menthe,21.0,tomate,41.666666666666664,0.0,35.12499999999999,8.375,1.2625,0.0,0.20833333333333331,0.0,1.0833333333333333
Cassoulet végétarien aux légumes variés,11.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.0027500000000000003,0.06075
Cassoulet végétarien aux légumes variés,11.0,bouquet garni,2.5,0.0055000000000000005,,,,0.03175,0.57,0.011749999999999998,
Cassoulet végétarien aux légumes variés,11.0,carotte,78.125,0.01484375,61.5625,14.765625,2.03125,0.078125,0.4296875,0.03984375,1.015625
Cassoulet végétarien aux légumes variés,11.0,champignon de Pari,46.875,0.084375,75.46875,18.0,2.1234375,0.28125,2.0812500000000003,0.013125,0.0
Cassoulet végétarien aux légumes variés,11.0,clous de girofle,0.25,0.009875,3.475,0.8375,0.079,0.0325,0.014924999999999999,0.001725,0.0059499999999999996
Cassoulet végétarien aux légumes variés,11.0,haricots sec,46.875,0.0703125,,,21.609375,0.496875,10.546875,0.0140625,0.984375
Cassoulet végétarien aux légumes variés,11.0,navet,62.5,0.005,,,2.375,0.125,0.5625,0.045625,1.8125
Cassoulet végétarien aux légumes variés,11.0,oignon,37.5,0.0,63.375,15.075,2.52375,0.0,0.585,0.0,1.875
Cassoulet végétarien aux légumes variés,11.0,olives noire,50.0,1.175,,,0.025,9.75,0.745,1.36,0.0
Cassoulet végétarien aux légumes variés,11.0,poireau,30.0,0.0,34.2,8.22,0.669,0.0,0.768,0.0,0.54
Cassoulet végétarien aux légumes variés,11.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Cassoulet végétarien aux légumes variés,11.0,pommes de terre,131.25,0.034124999999999996,511.875,120.61875,26.38125,0.13125,2.5725,0.004725,2.23125
Cassoulet végétarien aux légumes variés,11.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Chou farci végétarien,10.0,ail,40.0,0.08,584.0,137.6,25.12,0.308,6.68,0.044000000000000004,0.972
Chou farci végétarien,10.0,aubergine,31.25,0.010625,,,0.746875,0.04375,0.35,0.00196875,0.746875
